Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6166628	Score: 5449331	Number of Evaluations: 26997	Number of Performed Moves: 3631	Number of Best Solution Updates: 0	Solution: 	13 22 12 1 5 24 16 14 3 6 17 19 11 7 10 20 8 4 18 9 2 21 15 23 0 25 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6025710	Score: 5620048	Number of Evaluations: 15351	Number of Performed Moves: 5077	Number of Best Solution Updates: 0	Solution: 	24 22 15 23 25 1 3 12 7 10 8 13 2 14 5 6 19 17 18 16 21 11 4 0 9 20 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5860634	Score: 5445858	Number of Evaluations: 27434	Number of Performed Moves: 3303	Number of Best Solution Updates: 0	Solution: 	14 20 25 10 6 22 21 1 13 15 4 8 0 18 7 2 11 19 17 16 24 23 3 9 12 5 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5849611	Score: 5450570	Number of Evaluations: 27587	Number of Performed Moves: 2997	Number of Best Solution Updates: 0	Solution: 	10 11 2 15 5 25 3 14 20 6 13 17 0 19 12 7 18 4 8 21 22 24 16 9 1 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5943501	Score: 5466774	Number of Evaluations: 27587	Number of Performed Moves: 2625	Number of Best Solution Updates: 0	Solution: 	3 15 6 10 7 2 22 20 1 11 19 4 0 18 5 12 13 8 14 25 16 24 21 9 23 17 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5822659	Score: 5490967	Number of Evaluations: 26870	Number of Performed Moves: 3965	Number of Best Solution Updates: 0	Solution: 	3 6 10 11 1 16 24 15 14 0 19 8 18 17 25 23 2 13 20 22 7 5 21 9 12 4 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6021945	Score: 5448312	Number of Evaluations: 27495	Number of Performed Moves: 3190	Number of Best Solution Updates: 0	Solution: 	13 15 10 12 11 24 16 0 2 3 17 19 18 6 7 14 8 4 20 23 22 5 9 21 1 25 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6001912	Score: 5467091	Number of Evaluations: 23937	Number of Performed Moves: 3229	Number of Best Solution Updates: 0	Solution: 	5 1 15 11 12 20 24 7 25 0 3 19 6 17 13 14 4 8 18 9 16 22 23 2 21 10 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6122533	Score: 5453633	Number of Evaluations: 24878	Number of Performed Moves: 3733	Number of Best Solution Updates: 0	Solution: 	5 1 21 12 11 3 10 14 20 6 13 19 0 17 25 7 18 4 8 2 16 24 9 23 22 15 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5815651	Score: 5497948	Number of Evaluations: 29883	Number of Performed Moves: 3475	Number of Best Solution Updates: 0	Solution: 	12 15 1 10 11 23 24 3 6 0 17 4 13 18 7 14 20 19 2 9 16 5 22 25 21 8 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5741666	Score: 5480761	Number of Evaluations: 28199	Number of Performed Moves: 3726	Number of Best Solution Updates: 0	Solution: 	10 1 5 13 11 9 24 14 25 7 3 19 18 2 17 6 20 4 0 12 22 21 16 23 15 8 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
