Algorithm,Instance,Initial_Score,Score,Number_of_Evaluations,Number_of_Performed_Moves,Number_of_Best_Solution_Updates,Solution,Optimal_Score,Optimal_Solution
simulatedAnnealing,had14,3062,2724,2533,859,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3180,2724,2605,909,0,7 12 9 10 11 4 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3106,2724,2627,894,0,7 12 9 4 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3154,2724,2838,944,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3206,2724,2681,868,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3056,2724,2550,781,0,7 12 9 10 11 4 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3032,2724,2585,822,0,7 12 9 10 11 4 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3174,2724,2599,825,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3112,2724,2539,836,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3210,2724,2544,848,0,7 12 9 10 11 4 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3138,2724,2548,1052,0,7 12 9 10 11 4 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3176,2724,2601,924,0,7 12 4 9 11 10 1 13 2 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3330,2726,2615,855,0,7 12 9 10 11 13 1 4 2 6 5 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3274,2728,2541,833,0,2 12 9 1 11 4 10 13 7 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
simulatedAnnealing,had14,3150,2728,2625,843,0,2 12 9 1 11 4 10 13 7 5 6 0 8 3 	,2724,"8 13 10 5 12 11 2 14 3 6 7 1 9 4 
"
