Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 301684	Score: 275622	Number of Evaluations: 922555	Number of Performed Moves: 38597	Number of Best Solution Updates: 0	Solution: 	91 65 81 93 6 56 13 77 54 49 35 39 90 11 19 7 83 45 24 47 96 57 58 92 36 85 42 17 69 33 88 2 37 50 18 46 95 5 94 64 30 52 4 60 21 55 53 98 80 84 23 10 41 71 89 26 97 70 1 66 22 74 68 25 78 40 79 73 67 59 62 72 38 75 44 51 12 3 76 61 32 34 16 82 43 48 28 15 9 20 14 31 87 63 99 27 86 0 8 29 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 299910	Score: 275288	Number of Evaluations: 794159	Number of Performed Moves: 40353	Number of Best Solution Updates: 0	Solution: 	14 70 80 72 62 30 34 23 28 32 0 73 12 57 36 90 3 5 83 20 13 45 53 44 92 95 43 15 93 86 99 75 38 74 10 26 85 66 18 31 27 21 97 25 89 4 60 78 51 48 56 55 40 79 82 2 50 16 7 63 94 9 76 68 46 37 39 6 64 88 87 67 41 22 81 52 1 71 17 29 8 61 84 59 58 69 11 98 19 54 42 77 33 65 96 35 91 24 47 49 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 300066	Score: 274792	Number of Evaluations: 685602	Number of Performed Moves: 45747	Number of Best Solution Updates: 0	Solution: 	14 62 8 13 99 73 33 59 56 0 34 42 72 65 10 57 80 85 45 83 87 38 36 44 75 92 21 41 61 70 9 76 74 55 89 77 26 39 94 6 28 82 68 12 51 25 2 96 67 24 31 3 43 60 78 53 46 18 7 64 27 16 58 79 71 4 37 11 90 88 23 22 30 97 95 15 81 40 69 98 86 63 84 52 48 50 1 35 19 5 32 91 54 49 66 20 29 17 93 47 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 298984	Score: 275558	Number of Evaluations: 528876	Number of Performed Moves: 47311	Number of Best Solution Updates: 0	Solution: 	83 65 77 6 39 71 24 47 54 49 8 57 41 42 96 67 17 35 19 91 56 85 94 55 97 78 58 98 16 93 0 7 21 79 40 18 60 11 88 86 13 92 53 15 95 46 37 52 48 64 45 99 90 25 10 43 27 69 29 5 73 33 44 36 89 4 50 22 81 9 14 59 75 12 26 2 68 1 84 63 62 3 38 72 30 74 82 66 87 31 61 34 70 28 80 23 51 76 20 32 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 300010	Score: 275668	Number of Evaluations: 1068125	Number of Performed Moves: 52103	Number of Best Solution Updates: 0	Solution: 	32 29 47 49 71 99 59 8 0 14 48 24 50 67 51 94 76 33 56 62 63 16 66 78 77 75 82 61 73 87 20 1 15 79 40 53 3 21 44 34 5 7 95 55 12 89 70 26 85 2 19 17 98 11 46 43 74 92 6 39 86 69 35 60 37 25 10 96 90 88 93 81 52 58 68 4 18 38 41 72 91 84 27 97 22 30 42 36 57 31 28 54 23 64 9 80 13 45 65 83 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 299878	Score: 275424	Number of Evaluations: 1082980	Number of Performed Moves: 55056	Number of Best Solution Updates: 0	Solution: 	84 1 35 29 27 67 47 70 59 14 93 69 5 19 24 50 94 90 33 56 91 81 98 17 11 40 15 77 96 45 86 63 52 48 97 55 95 99 42 0 54 16 58 37 22 79 53 21 92 8 23 7 9 60 46 78 66 30 3 13 28 80 43 4 25 89 12 26 36 61 65 10 64 51 82 75 2 44 85 62 34 20 18 68 76 38 74 41 72 73 32 88 31 39 87 49 71 57 6 83 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 298022	Score: 276114	Number of Evaluations: 845771	Number of Performed Moves: 45079	Number of Best Solution Updates: 0	Solution: 	34 56 59 84 23 69 70 7 61 83 35 24 81 65 10 80 90 13 45 28 88 6 38 57 46 68 26 98 64 27 54 39 11 2 58 37 36 1 19 85 87 42 22 71 51 44 95 92 41 97 76 74 82 66 60 75 89 25 12 93 63 18 16 4 43 78 53 77 40 86 47 48 96 52 17 99 21 94 55 67 31 20 3 33 30 72 5 79 29 0 32 49 91 50 62 14 73 15 9 8 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 299676	Score: 275740	Number of Evaluations: 916379	Number of Performed Moves: 43344	Number of Best Solution Updates: 0	Solution: 	28 20 54 80 65 84 42 27 29 63 64 67 86 98 9 69 97 1 94 8 24 88 48 35 33 17 5 55 19 47 76 41 52 58 96 37 79 7 15 77 61 87 68 16 43 25 53 92 40 45 18 39 82 26 60 46 89 21 11 99 70 38 51 10 12 22 4 90 81 59 6 75 74 57 44 36 78 85 13 56 49 83 71 73 72 2 66 95 50 0 32 31 34 23 62 30 3 91 93 14 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 299360	Score: 275782	Number of Evaluations: 916979	Number of Performed Moves: 44247	Number of Best Solution Updates: 0	Solution: 	93 86 34 7 64 83 6 28 88 32 91 54 23 65 39 18 80 57 20 31 16 69 10 43 51 17 82 24 5 76 87 58 90 85 37 60 25 68 41 61 11 35 98 92 52 4 26 38 74 96 81 19 70 44 89 2 30 36 72 62 63 1 95 66 46 78 40 12 21 3 84 22 50 15 48 53 55 97 79 9 56 8 27 13 71 75 29 45 73 67 14 59 47 99 49 77 94 42 33 0 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 295624	Score: 275988	Number of Evaluations: 873997	Number of Performed Moves: 49539	Number of Best Solution Updates: 0	Solution: 	61 86 88 17 84 64 98 9 69 54 67 83 7 41 1 18 96 35 70 23 20 93 5 19 90 37 52 58 80 28 8 85 40 92 2 25 26 68 97 45 21 72 79 95 12 4 60 36 30 65 73 78 55 53 44 89 10 57 27 13 62 29 15 48 66 43 51 46 33 71 47 16 50 11 34 74 82 22 24 32 0 99 94 75 3 6 38 76 42 77 14 56 63 39 59 31 87 81 91 49 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
Algorithm: rsimulatedAnnealing	Instance: wil100	Initial Score: 301668	Score: 274786	Number of Evaluations: 1046975	Number of Performed Moves: 51517	Number of Best Solution Updates: 0	Solution: 	59 83 56 73 61 45 99 0 8 14 65 7 85 13 21 42 94 77 9 49 39 10 57 92 79 75 78 97 55 86 62 72 80 36 95 12 25 28 27 64 31 30 4 38 26 44 89 51 48 63 6 3 43 18 46 60 53 15 76 24 41 16 58 74 68 70 87 71 98 67 96 81 37 33 40 11 82 22 17 29 20 34 90 66 1 2 50 52 35 47 91 93 23 84 88 69 5 19 54 32 	Optimal Score: 273038	Optimal Solution: 	15 28 100 64 95 88 32 87 30 50 9 10 43 56 78 77 65 68 55 48 1 29 98 79 90 83 23 72 49 33 46 71 39 76 26 69 52 99 53 25 14 37 13 45 80 41 61 16 18 6 81 31 27 54 4 47 44 2 34 36 63 73 3 96 5 75 19 67 97 51 74 22 58 93 42 7 38 12 89 20 84 24 86 11 8 40 59 17 70 92 57 62 35 91 66 60 82 21 85 94 
